refArea,Percentage of cases out of national total ,structure,Observation URI,references,Existence of chronic diseases - Hypertension,publisher,Existence of chronic diseases - does not exist,Town,Nb of Covid-19 cases,Existence of chronic diseases - Cardiovascular disease ,dataset,Existence of chronic diseases - Diabetes 
http://dbpedia.org/resource/Sidon_District,1.10E-01,,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aadloun,https://impact.cib.gov.lb/home#open_data_section,0,Impact Open Data,0,Aadloun,1176,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Status-Lebanon-2023,0
http://dbpedia.org/resource/Sidon_District,1.00E-02,,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aadoussiyeh,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,0,Aadoussiyeh,114,1,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Status-Lebanon-2023,1
https://dbpedia.org/page/North_Governorate,2.00E-02,,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aafsdiq,https://impact.cib.gov.lb/home#open_data_section,0,Impact Open Data,1,Aafsdiq,175,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Status-Lebanon-2023,0
http://dbpedia.org/resource/Aley_District,4.00E-02,,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aain+Aanoub,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,0,Aain Aanoub,394,1,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Status-Lebanon-2023,1
https://dbpedia.org/page/Beqaa_Governorate,0.00E+00,,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aain+Aarab+Rachaya,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,0,Aain Aarab Rachaya,25,1,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Status-Lebanon-2023,1
https://dbpedia.org/page/Beqaa_Governorate,1.00E-02,,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aain+Aata,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,0,Aain Aata,157,1,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Status-Lebanon-2023,1
http://dbpedia.org/resource/Aley_District,3.00E-02,,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aain+Dara,https://impact.cib.gov.lb/home#open_data_section,0,Impact Open Data,0,Aain Dara,283,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Status-Lebanon-2023,0
http://dbpedia.org/resource/Aley_District,1.00E-02,,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aain+Drafil,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,0,Aain Drafil,122,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Status-Lebanon-2023,1
http://dbpedia.org/resource/Sidon_District,5.00E-02,,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aain+Ed-Delb,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,0,Aain Ed-Delb,522,1,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Status-Lebanon-2023,1
http://dbpedia.org/resource/Byblos_District,0.00E+00,,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aain+Ed-Delbe,https://impact.cib.gov.lb/home#open_data_section,0,Impact Open Data,1,Aain Ed-Delbe,8,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Status-Lebanon-2023,0
http://dbpedia.org/resource/Aley_District,1.00E-02,,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aain+Ej-Jdideh+Aaley,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,0,Aain Ej-Jdideh Aaley,60,1,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Status-Lebanon-2023,1
http://dbpedia.org/resource/Aley_District,0.00E+00,,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aain+El+Saydeh,https://impact.cib.gov.lb/home#open_data_section,0,Impact Open Data,1,Aain El Saydeh,2,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Status-Lebanon-2023,0
http://dbpedia.org/resource/Byblos_District,0.00E+00,,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aain+El-Ghouaybeh,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,0,Aain El-Ghouaybeh,0,1,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Status-Lebanon-2023,1
http://dbpedia.org/resource/Matn_District,3.00E-02,,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aain+El-Kharroubeh,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,0,Aain El-Kharroubeh,298,1,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Status-Lebanon-2023,1
http://dbpedia.org/resource/Matn_District,0.00E+00,,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aain+El-Qabu,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,0,Aain El-Qabu,6,1,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Status-Lebanon-2023,1
http://dbpedia.org/resource/Keserwan_District,5.00E-02,,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aain+Er-Rihane,https://impact.cib.gov.lb/home#open_data_section,0,Impact Open Data,0,Aain Er-Rihane,530,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Status-Lebanon-2023,0
http://dbpedia.org/resource/Aley_District,0.00E+00,,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aain+Er-Roummaneh+Aaley,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,0,Aain Er-Roummaneh Aaley,35,1,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Status-Lebanon-2023,1
http://dbpedia.org/resource/Matn_District,2.00E-02,,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aain+Es-Sindiane,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,0,Aain Es-Sindiane,228,1,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Status-Lebanon-2023,1
http://dbpedia.org/resource/Matn_District,0.00E+00,,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aain+Et-Teffaha,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,0,Aain Et-Teffaha,12,1,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Status-Lebanon-2023,1
http://dbpedia.org/resource/MiniyehâDanniyeh_District,0.00E+00,,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aain+Et-Tineh-Miniyeh,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,0,Aain Et-Tineh-Miniyeh,27,1,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Status-Lebanon-2023,1
https://dbpedia.org/page/Akkar_Governorate,0.00E+00,,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aain+Ez-Zeit,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,0,Aain Ez-Zeit,1,1,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Status-Lebanon-2023,1
http://dbpedia.org/resource/Matn_District,0.00E+00,,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aain+Ez-Zeitouneh,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,0,Aain Ez-Zeitouneh,1,1,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Status-Lebanon-2023,1
http://dbpedia.org/resource/Aley_District,0.00E+00,,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aain+Fraidis,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,0,Aain Fraidis,0,1,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Status-Lebanon-2023,0
https://dbpedia.org/page/Beqaa_Governorate,0.00E+00,,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aain+Harsha,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,0,Aain Harsha,16,1,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Status-Lebanon-2023,1
http://dbpedia.org/resource/Bint_Jbeil_District,4.00E-02,,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aain+Ibl,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,0,Aain Ibl,448,1,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Status-Lebanon-2023,1
http://dbpedia.org/resource/Hasbaya_District,1.00E-02,,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aain+Jarfa,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,0,Aain Jarfa,63,1,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Status-Lebanon-2023,1
http://dbpedia.org/resource/Byblos_District,0.00E+00,,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aain+Jrain,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,0,Aain Jrain,2,1,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Status-Lebanon-2023,1
http://dbpedia.org/resource/Byblos_District,0.00E+00,,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aain+Kfaa,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,0,Aain Kfaa,5,1,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Status-Lebanon-2023,1
http://dbpedia.org/resource/ZahlÃ©_District,4.00E-02,,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aain+Kfar+Zabad,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,0,Aain Kfar Zabad,473,1,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Status-Lebanon-2023,1
http://dbpedia.org/resource/Aley_District,1.00E-02,,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aain+Ksour,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,0,Aain Ksour,78,1,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Status-Lebanon-2023,1
http://dbpedia.org/resource/Baabda_District,0.00E+00,,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aain+Mouaffaq,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,0,Aain Mouaffaq,1,1,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Status-Lebanon-2023,1
https://dbpedia.org/page/Mount_Lebanon_Governorate,4.00E-02,,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aain+Ouzain,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,0,Aain Ouzain,444,1,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Status-Lebanon-2023,1
https://dbpedia.org/page/Nabatieh_Governorate,4.00E-02,,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aain+Qana,https://impact.cib.gov.lb/home#open_data_section,0,Impact Open Data,0,Aain Qana,459,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Status-Lebanon-2023,0
https://dbpedia.org/page/Mount_Lebanon_Governorate,1.00E-02,,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aain+Qania,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,0,Aain Qania,83,1,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Status-Lebanon-2023,1
http://dbpedia.org/resource/Hasbaya_District,1.00E-02,,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aain+Qinia,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,0,Aain Qinia,151,1,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Status-Lebanon-2023,1
http://dbpedia.org/resource/Matn_District,4.00E-01,,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aain+Saadeh,https://impact.cib.gov.lb/home#open_data_section,0,Impact Open Data,0,Aain Saadeh,4240,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Status-Lebanon-2023,0
https://dbpedia.org/page/Akkar_Governorate,0.00E+00,,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aain+Tinta,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,0,Aain Tinta,0,1,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Status-Lebanon-2023,1
http://dbpedia.org/resource/Aley_District,0.00E+00,,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aain+Traz,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,0,Aain Traz,0,1,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Status-Lebanon-2023,1
https://dbpedia.org/page/Akkar_Governorate,1.00E-02,,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aain+Yaaqoub,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,0,Aain Yaaqoub,131,1,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Status-Lebanon-2023,1
http://dbpedia.org/resource/Western_Beqaa_District,1.00E-02,,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aain+Zebdeh,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,0,Aain Zebdeh,75,1,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Status-Lebanon-2023,1
https://dbpedia.org/page/Mount_Lebanon_Governorate,2.00E-02,,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aain+Zhalta,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,0,Aain Zhalta,193,1,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Status-Lebanon-2023,1
http://dbpedia.org/resource/Byblos_District,0.00E+00,,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aain+challal,https://impact.cib.gov.lb/home#open_data_section,0,Impact Open Data,1,Aain challal,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Status-Lebanon-2023,0
https://dbpedia.org/page/Mount_Lebanon_Governorate,1.00E-02,,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aainbal,https://impact.cib.gov.lb/home#open_data_section,0,Impact Open Data,0,Aainbal,74,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Status-Lebanon-2023,0
http://dbpedia.org/resource/Bint_Jbeil_District,0.00E+00,,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aaita+Ej-Jabal,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,0,Aaita Ej-Jabal,2,1,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Status-Lebanon-2023,1
https://dbpedia.org/page/Akkar_Governorate,2.00E-02,,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aaiyat,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,0,Aaiyat,223,1,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Status-Lebanon-2023,1
http://dbpedia.org/resource/Keserwan_District,7.00E-02,,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aajaltoun,https://impact.cib.gov.lb/home#open_data_section,0,Impact Open Data,0,Aajaltoun,692,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Status-Lebanon-2023,0
https://dbpedia.org/page/Akkar_Governorate,1.10E-01,,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aakkar+El-Aatiqa,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,0,Aakkar El-Aatiqa,1197,1,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Status-Lebanon-2023,1
http://dbpedia.org/resource/Aley_District,4.10E-01,,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aaley,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,0,Aaley,4298,1,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Status-Lebanon-2023,1
http://dbpedia.org/resource/Aley_District,0.00E+00,,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aaley+Bsatine,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,0,Aaley Bsatine,8,1,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Status-Lebanon-2023,1
http://dbpedia.org/resource/ZahlÃ©_District,1.40E-01,,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aali+En-Nahri,https://impact.cib.gov.lb/home#open_data_section,0,Impact Open Data,1,Aali En-Nahri,1455,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Status-Lebanon-2023,0
http://dbpedia.org/resource/Zgharta_District,3.00E-02,,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aalma,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,0,Aalma,313,1,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Status-Lebanon-2023,1
http://dbpedia.org/resource/Tyre_District,2.00E-02,,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aalma+Ech-Chaab,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,0,Aalma Ech-Chaab,221,1,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Status-Lebanon-2023,1
http://dbpedia.org/resource/Marjeyoun_District,0.00E+00,,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aalman,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,0,Aalman,0,1,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Status-Lebanon-2023,1
https://dbpedia.org/page/Mount_Lebanon_Governorate,3.00E-02,,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aalmane+Ech-Chouf,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,0,Aalmane Ech-Chouf,275,1,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Status-Lebanon-2023,1
https://dbpedia.org/page/Akkar_Governorate,0.00E+00,,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aamaret+El-Baykat,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,0,Aamaret El-Baykat,2,1,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Status-Lebanon-2023,1
https://dbpedia.org/page/Akkar_Governorate,0.00E+00,,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aamayer,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,0,Aamayer,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Status-Lebanon-2023,1
http://dbpedia.org/resource/Byblos_District,3.40E-01,,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aamchit,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,0,Aamchit,3559,1,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Status-Lebanon-2023,1
https://dbpedia.org/page/Mount_Lebanon_Governorate,2.00E-02,,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aammatour,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,0,Aammatour,215,1,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Status-Lebanon-2023,1
http://dbpedia.org/resource/Western_Beqaa_District,1.00E-02,,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aammiq+Ech-Chouf,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,0,Aammiq Ech-Chouf,63,1,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Status-Lebanon-2023,1
http://dbpedia.org/resource/Western_Beqaa_District,2.00E-02,,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aana,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,0,Aana,199,1,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Status-Lebanon-2023,1
https://dbpedia.org/page/Akkar_Governorate,4.00E-02,,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aandqet,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,0,Aandqet,390,1,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Status-Lebanon-2023,1
http://dbpedia.org/resource/ZahlÃ©_District,4.00E-02,,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aanjar+%28Haouch+Moussa%29,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,0,Aanjar (Haouch Moussa),417,1,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Status-Lebanon-2023,1
https://dbpedia.org/page/Mount_Lebanon_Governorate,5.00E-02,,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aanout,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,0,Aanout,534,1,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Status-Lebanon-2023,1
http://dbpedia.org/resource/Sidon_District,9.00E-02,,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aanqoun,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,0,Aanqoun,962,1,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Status-Lebanon-2023,1
https://dbpedia.org/page/Akkar_Governorate,0.00E+00,,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Health_Status-Aaouaainat+Aakkar,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,0,Aaouaainat Aakkar,25,1,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Health_Status-Lebanon-2023,1
